chr_snp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124
CE10_chr6_52686214,19,1,14,6,16,0,14,4,12,6,10,10,4,0,8,2,17,1,17,1,17,3,13,1,6,6,3,7,4,4,16,2,9,5,8,4,8,4,13,7,6,4,7,5,18,0,14,0,5,1,11,3,4,0,4,2,10,0,12,4,18,2,6,2,3,7,2,2,14,4,6,2,0,2,4,10,12,6,10,2,7,5,4,8,10,10,1,3,10,4,0,4,2,0,2,14,0,16,0,20,0,18,0,18,4,4,0,2,7,3,11,7,6,12,3,5,5,1,2,8,6,8,6,14
CE10_chr6_52686491,19,1,15,5,15,1,13,3,12,6,10,10,4,0,7,1,18,2,18,2,16,4,13,1,6,6,4,6,4,4,14,4,10,4,8,4,8,4,13,7,6,4,7,5,18,0,14,0,5,1,11,3,4,0,5,1,10,0,12,4,16,4,5,3,4,6,2,2,15,3,6,2,0,2,4,10,15,5,10,2,5,5,3,9,12,8,1,1,10,6,0,4,2,0,2,14,0,16,0,18,0,18,0,18,4,4,0,2,7,3,10,8,6,10,2,4,5,1,1,7,7,7,5,15
CE10_chr6_52686524,19,1,13,1,14,0,10,0,8,2,10,10,4,0,6,0,17,3,18,2,17,3,13,1,6,6,4,6,4,4,13,3,10,4,7,5,7,3,13,7,6,4,7,5,18,0,14,0,2,0,11,1,4,0,2,0,10,0,12,0,13,1,4,2,2,0,0,0,12,0,5,1,0,0,2,4,12,0,6,0,4,0,1,1,7,1,1,1,7,1,0,0,2,0,2,6,0,12,0,16,0,10,0,6,4,4,0,0,7,1,9,3,6,12,2,4,4,2,2,6,7,7,6,14
CE10_chr6_52686709,20,0,13,5,15,1,16,2,12,6,11,9,4,0,8,2,17,3,17,3,17,3,13,1,5,7,4,6,4,4,16,2,9,5,7,5,9,3,13,7,6,4,7,5,18,0,12,0,5,1,11,3,4,0,5,1,10,0,13,3,15,5,6,2,3,7,2,2,14,4,7,1,0,2,4,10,15,5,9,3,8,4,5,5,11,9,2,2,12,4,0,4,2,0,2,12,0,16,0,20,0,18,0,16,3,3,0,2,7,3,11,7,7,11,3,5,4,2,2,8,6,6,6,14
CE10_chr6_52687031,19,1,17,3,15,1,13,5,12,6,10,10,4,0,7,3,19,1,17,3,18,2,13,1,6,6,2,8,4,4,16,2,11,3,7,5,8,4,11,9,6,4,7,5,18,0,14,0,4,2,9,3,2,0,4,2,10,0,13,3,16,2,6,0,3,7,3,1,14,4,7,1,0,2,3,11,12,6,10,2,8,4,5,7,10,10,1,3,10,4,0,4,2,0,2,14,0,16,0,20,0,18,0,18,5,3,0,2,7,3,11,7,5,9,2,4,5,1,2,8,6,8,6,14
CE10_chr6_52687062,19,1,17,3,15,1,14,4,13,5,10,10,4,0,7,3,19,1,17,3,18,2,13,1,6,6,1,7,4,4,14,2,10,4,8,4,8,4,11,7,6,4,7,3,18,0,14,0,4,2,11,3,4,0,5,1,10,0,13,3,16,2,8,0,3,7,3,1,14,4,7,1,0,2,3,11,15,5,10,2,7,5,5,7,10,10,1,3,11,5,0,4,2,0,2,12,0,16,0,20,0,18,0,18,4,4,0,2,7,3,11,7,7,11,3,5,5,1,2,8,6,8,7,13
CE10_chr6_52687204,19,1,15,3,15,1,13,3,10,4,10,8,4,0,6,4,17,3,18,2,19,1,14,0,7,5,1,9,4,4,14,2,8,4,8,2,8,4,13,7,6,4,7,3,16,0,12,0,2,0,11,3,4,0,4,2,10,0,10,4,14,2,6,0,3,7,3,1,15,3,5,1,0,2,3,9,14,4,8,2,6,4,6,6,10,10,1,3,9,5,0,4,2,0,2,12,0,10,0,14,0,18,0,16,4,4,0,2,7,3,12,6,5,9,3,3,4,2,0,8,7,5,5,13
CE10_chr6_52688209,20,0,15,5,15,1,12,4,13,5,11,9,4,0,9,1,18,2,18,2,17,3,13,1,6,6,3,7,4,4,15,3,10,2,6,2,8,4,13,5,4,4,6,4,16,0,14,0,5,1,12,2,4,0,5,1,10,0,11,5,15,5,6,2,2,6,2,2,14,4,7,1,0,2,3,11,15,5,9,3,8,4,4,8,11,9,1,3,12,4,0,4,2,0,2,12,0,16,0,18,0,18,0,18,6,2,0,2,7,3,12,6,6,12,3,5,4,2,1,9,6,8,6,14
CE10_chr6_56504004,13,5,12,4,13,3,11,7,11,7,14,4,4,0,7,3,16,4,14,4,6,12,0,14,5,7,4,6,1,7,11,5,6,6,11,1,3,9,5,13,1,9,2,10,1,17,0,14,3,3,12,0,4,0,3,3,5,5,12,4,18,2,7,1,8,2,4,0,16,0,6,2,1,1,11,3,18,2,12,0,11,1,11,1,8,12,3,1,4,10,0,4,2,0,11,3,16,0,16,0,18,0,18,0,6,2,2,0,10,0,15,1,17,1,6,2,5,1,10,0,14,0,13,5
CE10_chr6_56505268,8,0,8,0,12,0,6,0,10,0,14,0,4,0,4,0,14,0,12,0,4,0,0,0,6,0,2,0,0,0,12,0,2,0,10,0,2,0,4,0,2,0,2,0,4,0,0,0,0,0,12,0,4,0,2,0,4,0,10,0,14,0,6,0,8,0,4,0,14,0,4,0,0,0,10,0,18,0,12,0,10,0,10,0,4,0,2,0,6,0,0,0,2,0,10,0,16,0,20,0,18,0,16,0,6,0,2,0,10,0,14,0,14,0,4,0,2,0,10,0,12,0,8,0
CE10_chr6_56505735,11,9,11,7,14,2,10,4,10,8,15,3,4,0,7,1,16,4,15,3,5,15,0,14,6,6,5,5,1,7,13,5,9,5,11,1,4,6,7,13,2,4,3,5,1,13,0,6,1,3,14,0,4,0,2,2,4,6,13,3,17,3,5,1,7,1,4,0,15,3,7,1,2,0,11,3,18,2,12,0,12,0,11,1,5,9,2,2,4,6,0,2,2,0,12,0,16,0,20,0,18,0,18,0,6,2,2,0,10,0,16,2,16,0,7,1,4,2,10,0,13,1,12,6
CE10_chr6_56508033,14,6,15,5,14,2,13,5,10,8,17,3,4,0,7,1,16,4,15,5,5,15,0,12,4,4,5,5,2,6,12,2,8,4,10,0,3,9,7,9,3,7,1,9,1,17,0,8,2,2,12,0,4,0,2,0,3,3,7,1,15,1,6,0,8,0,4,0,15,3,6,2,0,0,11,1,18,2,12,0,12,0,12,0,7,11,3,1,6,8,0,4,2,0,13,1,16,0,20,0,18,0,18,0,6,2,2,0,10,0,17,1,14,0,6,0,4,2,10,0,12,0,13,3
CE10_chr6_56508360,10,6,12,8,13,1,14,4,10,8,18,2,4,0,7,3,18,2,15,5,5,15,0,12,5,7,4,6,1,7,15,3,8,6,11,1,3,9,5,13,0,6,1,9,1,15,0,14,0,2,13,1,4,0,4,2,5,5,11,5,16,2,6,2,7,3,4,0,15,3,6,0,1,1,12,2,18,0,12,0,12,0,11,1,8,12,2,0,5,9,0,4,2,0,13,3,16,0,20,0,18,0,18,0,6,2,2,0,10,0,15,1,17,1,6,0,3,1,10,0,14,0,14,6
CE10_chr7_30566053,10,10,9,9,5,11,5,13,3,13,2,18,2,2,6,4,5,15,2,18,20,0,14,0,12,0,10,0,8,0,14,2,14,0,12,0,10,2,20,0,9,1,11,1,18,0,14,0,6,0,7,5,3,1,4,2,7,3,7,9,13,7,2,6,3,5,4,0,5,3,6,2,1,1,12,2,16,4,5,5,11,1,5,7,9,11,1,3,7,9,3,1,0,2,3,13,0,16,0,18,0,16,0,18,7,1,2,0,6,4,11,7,7,11,0,8,2,4,9,1,7,5,11,7
CE10_chr8_4027355,13,7,7,13,13,3,10,6,9,9,4,14,1,3,4,2,8,12,6,14,18,0,14,0,12,0,10,0,8,0,14,4,14,0,11,1,12,0,19,1,10,0,12,0,18,0,14,0,6,0,11,3,3,1,3,3,5,5,9,7,17,3,5,3,3,5,3,1,15,3,2,6,2,0,10,4,4,14,3,9,4,8,3,9,12,8,2,2,11,5,4,0,0,2,8,8,2,14,0,20,11,7,3,13,8,0,2,0,10,0,18,0,13,3,6,0,6,0,7,1,10,4,17,3
CE10_chr8_4030884,11,7,5,9,13,3,13,5,10,8,4,14,1,3,7,1,10,10,6,14,20,0,14,0,12,0,10,0,8,0,14,4,14,0,12,0,12,0,18,0,10,0,12,0,18,0,14,0,6,0,8,4,3,1,2,2,2,8,8,8,9,9,3,3,4,6,2,2,13,3,2,6,2,0,11,3,4,12,3,7,5,7,3,9,13,7,3,1,11,5,4,0,0,2,9,7,2,14,0,20,10,8,5,13,8,0,2,0,10,0,18,0,14,4,7,1,6,0,9,1,9,3,17,3
CE10_chr8_4036149,4,16,4,16,2,12,5,13,6,12,5,13,1,3,8,2,9,11,5,13,20,0,14,0,12,0,10,0,6,0,14,4,13,1,10,2,10,2,19,1,8,2,11,1,16,0,14,0,6,0,9,5,0,4,2,4,1,9,5,11,6,14,1,7,3,7,1,1,13,5,1,7,2,0,7,7,4,16,3,9,1,11,3,9,9,11,1,3,10,6,4,0,0,2,8,6,1,15,0,20,10,8,5,11,4,4,2,0,6,4,7,11,12,6,8,0,6,0,5,5,9,5,12,6
CE10_chr8_6814984,6,12,14,6,7,9,7,11,13,5,16,4,4,0,8,2,15,5,17,3,9,11,7,7,5,7,5,3,2,6,6,12,1,13,3,7,2,10,3,15,2,8,0,12,1,17,0,14,0,6,13,1,1,3,6,0,2,6,7,9,10,8,2,4,7,3,2,2,5,11,4,4,1,1,2,12,8,12,6,6,1,9,7,3,14,6,3,1,13,3,4,0,2,0,12,4,15,1,18,2,18,0,18,0,5,3,2,0,9,1,11,7,8,10,3,5,4,2,4,6,5,9,6,14
CE10_chr8_6815151,8,12,11,9,5,11,8,10,13,5,13,7,4,0,5,3,15,5,17,3,9,11,6,8,5,7,8,2,2,6,5,13,1,13,5,7,2,10,2,18,2,8,0,12,0,16,0,10,0,4,14,0,1,3,6,0,3,7,7,7,11,9,3,5,6,2,2,2,7,11,4,4,1,1,1,13,9,11,5,7,1,11,7,5,13,7,3,1,13,3,4,0,2,0,16,0,15,1,18,2,16,0,17,1,6,2,2,0,9,1,10,8,7,11,3,5,4,2,3,7,5,9,8,12
CE10_chr8_6816036,2,0,8,0,4,0,10,0,10,0,14,0,4,0,2,2,12,0,18,0,1,5,0,6,1,7,0,6,0,2,6,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,2,0,6,0,10,0,0,0,6,0,2,0,2,0,6,0,0,0,0,0,4,0,2,0,0,0,8,0,12,0,4,0,12,0,4,0,2,0,14,0,14,0,16,0,18,0,16,0,2,0,2,0,8,0,10,0,4,0,4,0,2,0,4,0,4,0,6,0
CE10_chr8_47308615,17,3,17,3,15,1,14,4,10,8,12,6,4,0,6,4,18,2,18,2,0,20,0,14,0,12,0,10,0,8,6,10,1,13,4,8,4,8,2,18,6,4,4,6,0,18,0,10,0,6,9,5,2,2,4,2,5,5,12,4,11,9,7,1,4,6,0,4,9,9,2,4,1,1,7,7,18,2,9,3,12,0,11,1,12,8,3,1,15,1,4,0,2,0,1,13,2,14,3,17,2,14,5,13,7,1,0,2,2,8,9,7,6,10,5,3,5,1,6,4,11,3,17,3
CE10_chr8_47310455,18,2,15,3,15,1,14,4,10,8,15,5,4,0,7,1,20,0,19,1,19,1,14,0,12,0,10,0,8,0,14,2,14,0,10,0,12,0,20,0,8,0,9,3,17,1,14,0,4,2,10,4,2,0,3,1,6,2,13,3,14,4,8,0,4,6,0,4,11,7,3,5,1,1,9,3,18,2,8,2,12,0,8,2,11,9,3,1,13,1,4,0,2,0,4,12,2,14,4,16,4,12,2,14,7,1,0,2,1,9,7,11,7,11,6,2,6,0,7,3,10,4,16,4
